"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/2/2026 9 p.m. CDT",60553,59860,60426,-125
ERCO,"4/2/2026 10 p.m. CDT",59171,58484,58966,-204
ERCO,"4/2/2026 11 p.m. CDT",56964,56192,56760,-204
ERCO,"4/3/2026 12 a.m. CDT",54035,53110,53831,-204
ERCO,"4/3/2026 1 a.m. CDT",51453,49961,51234,-219
ERCO,"4/3/2026 2 a.m. CDT",49424,47917,49240,-184
ERCO,"4/3/2026 3 a.m. CDT",47953,46651,47773,-180
ERCO,"4/3/2026 4 a.m. CDT",47288,45609,47088,-199
ERCO,"4/3/2026 5 a.m. CDT",47189,45376,46989,-199
ERCO,"4/3/2026 6 a.m. CDT",47867,46242,47667,-199
ERCO,"4/3/2026 7 a.m. CDT",49180,47589,48980,-199
ERCO,"4/3/2026 8 a.m. CDT",50284,48688,50084,-199
ERCO,"4/3/2026 9 a.m. CDT",51430,50684,51230,-200
ERCO,"4/3/2026 10 a.m. CDT",53330,53118,53111,-219
ERCO,"4/3/2026 11 a.m. CDT",55469,55464,55265,-204
ERCO,"4/3/2026 12 p.m. CDT",57342,57272,57123,-218
ERCO,"4/3/2026 1 p.m. CDT",58834,58777,58723,-111
ERCO,"4/3/2026 2 p.m. CDT",60013,59834,59964,-49
ERCO,"4/3/2026 3 p.m. CDT",60874,60792,60723,-150
ERCO,"4/3/2026 4 p.m. CDT",61740,61422,61523,-217
ERCO,"4/3/2026 5 p.m. CDT",62136,61716,61948,-188
ERCO,"4/3/2026 6 p.m. CDT",61701,61728,61515,-186
ERCO,"4/3/2026 7 p.m. CDT",60478,60358,60430,-47
ERCO,"4/3/2026 8 p.m. CDT",58794,58655,58694,-100
ERCO,"4/3/2026 9 p.m. CDT",58438,58515,58253,-184
ERCO,"4/3/2026 10 p.m. CDT",57224,57271,57019,-205
ERCO,"4/3/2026 11 p.m. CDT",55504,55396,55302,-202
ERCO,"4/4/2026 12 a.m. CDT",53207,52715,53001,-206
ERCO,"4/4/2026 1 a.m. CDT",51240,50977,51034,-206
ERCO,"4/4/2026 2 a.m. CDT",49659,49128,49518,-140
ERCO,"4/4/2026 3 a.m. CDT",48000,47901,47846,-154
ERCO,"4/4/2026 4 a.m. CDT",47133,46828,46973,-160
ERCO,"4/4/2026 5 a.m. CDT",46580,46259,46408,-172
ERCO,"4/4/2026 6 a.m. CDT",46567,45799,46381,-185
ERCO,"4/4/2026 7 a.m. CDT",46682,45634,46564,-118
ERCO,"4/4/2026 8 a.m. CDT",46984,46335,46817,-166
ERCO,"4/4/2026 9 a.m. CDT",48137,47723,47936,-200
ERCO,"4/4/2026 10 a.m. CDT",49769,49872,49550,-219
ERCO,"4/4/2026 11 a.m. CDT",51366,51361,51100,-265
ERCO,"4/4/2026 12 p.m. CDT",52462,52454,52242,-220
ERCO,"4/4/2026 1 p.m. CDT",52703,53016,52571,-132
ERCO,"4/4/2026 2 p.m. CDT",52578,53138,52455,-122
